iter	Logloss
0	0.586197425
1	0.5041535255
2	0.443552923
3	0.39085916
4	0.3491334781
5	0.3153810972
6	0.2910056538
7	0.2708027517
8	0.2557456953
9	0.2388621024
10	0.2250120702
11	0.2116441815
12	0.2015699112
13	0.1907468894
14	0.1845271895
15	0.1759656252
16	0.1698744169
17	0.1660236467
18	0.1611910688
19	0.1565674547
20	0.152124724
21	0.149648999
22	0.1478229967
23	0.1452141722
24	0.1431917301
25	0.1408387646
26	0.1390730853
27	0.1379350745
28	0.1372319853
29	0.1359821424
30	0.1340995285
31	0.132712162
32	0.1314121034
33	0.1296158936
34	0.1282896486
35	0.1267219635
36	0.1258900735
37	0.1235439579
38	0.1224047727
39	0.12175589
40	0.1208141606
41	0.1200709752
42	0.1194413427
43	0.1183530378
44	0.1177419745
45	0.1170153821
46	0.1164154122
47	0.1157015544
48	0.1151105949
49	0.114053087
50	0.1131253374
51	0.1123832265
52	0.1115255178
53	0.1109498355
54	0.1103321398
55	0.109566141
56	0.1092561177
57	0.1083427462
58	0.107728231
59	0.1073947487
60	0.1069697624
61	0.1065575421
62	0.1061752556
63	0.1057839057
64	0.105265798
65	0.1049700854
66	0.1042287724
67	0.1039991665
68	0.1031149465
69	0.1027111582
70	0.1023981589
71	0.1020331864
72	0.1017072152
73	0.1013569952
74	0.1010500112
75	0.1006677892
76	0.1005222746
77	0.1001271739
78	0.09993206472
79	0.09963072495
80	0.09882379605
81	0.0984686685
82	0.097864574
83	0.09757137335
84	0.09737513534
85	0.09718725257
86	0.09697310251
87	0.09678341738
88	0.09661766981
89	0.09649640263
90	0.09634297179
91	0.09619952524
92	0.09611551955
93	0.09595481883
94	0.0958519836
95	0.09570440769
96	0.09553180615
97	0.09535136249
98	0.0952200852
99	0.09493897634
