iter	Passed	Remaining
0	1252	124032
1	2382	116762
2	3479	112505
3	4591	110193
4	5765	109546
5	6813	106742
6	7784	103418
7	8740	100521
8	9728	98370
9	10669	96025
10	11657	94316
11	12589	92325
12	13491	90286
13	14453	88786
14	15205	86162
15	16086	84454
16	16997	82988
17	17902	81553
18	18803	80163
19	19653	78612
20	20610	77535
21	21514	76280
22	22307	74681
23	23205	73482
24	24055	72167
25	24878	70808
26	25797	69749
27	26630	68479
28	27471	67258
29	28366	66188
30	29415	65473
31	30249	64280
32	31012	62964
33	31741	61616
34	32917	61132
35	34164	60737
36	35064	59703
37	36217	59092
38	37444	58567
39	38340	57510
40	39179	56380
41	40038	55291
42	40842	54139
43	41777	53171
44	42531	51983
45	43522	51091
46	44257	49907
47	45261	49033
48	46110	47992
49	47202	47202
50	47958	46077
51	48847	45090
52	49937	44284
53	50867	43331
54	51771	42358
55	52736	41436
56	53544	40393
57	54335	39346
58	55213	38369
59	55990	37326
60	56869	36359
61	57717	35375
62	58563	34394
63	59461	33446
64	60513	32583
65	61308	31583
66	62326	30698
67	63091	29690
68	64015	28760
69	65042	27875
70	65794	26873
71	66749	25958
72	67404	24930
73	68240	23976
74	69212	23070
75	70020	22111
76	70732	21127
77	71630	20203
78	72491	19269
79	73334	18333
80	74250	17416
81	75324	16534
82	76319	15631
83	77398	14742
84	78217	13803
85	78946	12851
86	79721	11912
87	80415	10965
88	81120	10026
89	81905	9100
90	82673	8176
91	83400	7252
92	84152	6334
93	84947	5422
94	85679	4509
95	86430	3601
96	87313	2700
97	88050	1796
98	88808	897
99	89559	0
